brand,category,Size,Sleeve,Bust,Letter Size,Numeric Size,Waist,Hips,Length,Inseam,Height
Catherines Size Charts,Plus Tops - Numeric Sizes,28,,53,,,50,59,,,
Catherines Size Charts,Plus Tops - Numeric Sizes,30,,55,,,52,61,,,
Catherines Size Charts,Plus Tops - Numeric Sizes,32,,57,,,54,63,,,
Catherines Size Charts,Plus Tops - Numeric Sizes,34,,59,,,56,65,,,
Catherines Size Charts,Plus Tops - Numeric Sizes,36,,61,,,58,67,,,
Catherines Size Charts,Plus Tops - Numeric Sizes,38,,63,,,60,69,,,
Catherines Size Charts,Plus Tops - X Sizes,0X,,39 - 41,,,36 - 38,45 - 47,,,
Catherines Size Charts,Plus Tops - X Sizes,1X,,43 - 45,,,40 - 42,49 - 51,,,
Catherines Size Charts,Plus Tops - X Sizes,2X,,47 - 49,,,44 - 46,53 - 55,,,
Catherines Size Charts,Plus Tops - X Sizes,3X,,51 - 53,,,48 - 50,57 - 59,,,
Catherines Size Charts,Plus Tops - X Sizes,4X,,55 - 57,,,52 - 54,61 - 63,,,
Catherines Size Charts,Plus Tops - X Sizes,5X,,59 - 61,,,56 - 58,65 - 67,,,
Catherines Size Charts,Plus Tops - X Sizes,6X,,63,,,60,69,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,14,,,,,36,45,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,16,,,,,38,47,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,18,,,,,40,49,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,20,,,,,42,51,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,22,,,,,44,53,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,24,,,,,46,55,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,26,,,,,48,57,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,28,,,,,50,59,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,30,,,,,52,61,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,32,,,,,54,63,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,34,,,,,56,65,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,36,,,,,58,67,,,
Catherines Size Charts,Plus Bottoms - Numeric Sizes,38,,,,,60,69,,,
Catherines Size Charts,Plus Bottoms - X Sizes,,,,,,,,Petite,28,
Catherines Size Charts,Plus Bottoms - X Sizes,,,,,,,,Regular,30,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,0X,,,,,36 - 38,45 - 47,,,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,1X,,,,,40 - 42,49 - 51,,,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,2X,,,,,44 - 46,53 - 55,,,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,3X,,,,,48 - 50,57 - 59,,,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,4X,,,,,52 - 54,61 - 63,,,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,5X,,,,,56 - 58,65 - 67,,,
Catherines Size Charts,Plus Right Fit Curvy Bottoms,6X,,,,,60,69,,,
Catherines Size Charts,Plus Right Fit Moderately Curvy Bottoms,,,,,,,,Petite,28,
Catherines Size Charts,Plus Right Fit Moderately Curvy Bottoms,,,,,,,,Regular,30,
Catherines Size Charts,Plus Right Fit Straight Bottoms,16,,,,,38,48 - 51,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,18,,,,,40,50 - 53,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,20,,,,,42,52 - 55,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,22,,,,,44,54 - 57,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,24,,,,,46,56 - 59,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,26,,,,,48,58 - 61,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,28,,,,,50,60 - 63,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,30,,,,,52,62 - 65,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,32,,,,,54,64 - 67,,,
Catherines Size Charts,Plus Right Fit Straight Bottoms,34,,,,,56,66 - 69,,,
Catherines Size Charts,Plus Dresses - Numeric Sizes,,,,,,,,Petite,28,
Catherines Size Charts,Plus Dresses - Numeric Sizes,,,,,,,,Regular,30,
Catherines Size Charts,Plus Dresses - X Sizes,16,,,,,38,44 - 47,,,
Catherines Size Charts,Plus Dresses - X Sizes,18,,,,,40,46 - 49,,,
Catherines Size Charts,Plus Dresses - X Sizes,20,,,,,42,48 - 51,,,
Catherines Size Charts,Plus Dresses - X Sizes,22,,,,,44,50 - 53,,,
Catherines Size Charts,Plus Dresses - X Sizes,24,,,,,46,52 - 53,,,
Catherines Size Charts,Plus Dresses - X Sizes,26,,,,,48,54 - 57,,,
Catherines Size Charts,Plus Dresses - X Sizes,28,,,,,50,56 - 59,,,
Catherines Size Charts,Plus Dresses - X Sizes,30,,,,,52,58 - 61,,,
Catherines Size Charts,Plus Dresses - X Sizes,32,,,,,54,60 - 63,,,
Catherines Size Charts,Plus Dresses - X Sizes,34,,,,,56,62 - 65,,,
Catherines Size Charts,Plus Jackets - Numeric Sizes,,,,,,,,Petite,28,
Catherines Size Charts,Plus Jackets - Numeric Sizes,,,,,,,,Regular,30,
Catherines Size Charts,Plus Jackets - X Sizes,16,,,,,38,40 - 43,,,
Catherines Size Charts,Plus Jackets - X Sizes,18,,,,,40,42 - 45,,,
Catherines Size Charts,Plus Jackets - X Sizes,20,,,,,42,44 - 47,,,
Catherines Size Charts,Plus Jackets - X Sizes,22,,,,,44,46 - 49,,,
Catherines Size Charts,Plus Jackets - X Sizes,24,,,,,46,48 - 51,,,
Catherines Size Charts,Plus Jackets - X Sizes,26,,,,,48,50 - 53,,,
Catherines Size Charts,Plus Jackets - X Sizes,28,,,,,50,52 - 55,,,
Catherines Size Charts,Plus Jackets - X Sizes,30,,,,,52,54 - 57,,,
Catherines Size Charts,Plus Jackets - X Sizes,32,,,,,54,56 - 59,,,
Catherines Size Charts,Plus Jackets - X Sizes,34,,,,,56,58 - 61,,,
Catherines Size Charts,Category 12,,,,,,,,Petite,28,
Catherines Size Charts,Category 12,,,,,,,,Regular,30,
Catherines Size Charts,Category 13,14,,39,,,36,45,,,
Catherines Size Charts,Category 13,16,,41,,,38,47,,,
Catherines Size Charts,Category 13,18,,43,,,40,49,,,
Catherines Size Charts,Category 13,20,,45,,,42,51,,,
Catherines Size Charts,Category 13,22,,47,,,44,53,,,
Catherines Size Charts,Category 13,24,,49,,,46,55,,,
Catherines Size Charts,Category 13,26,,51,,,48,57,,,
Catherines Size Charts,Category 13,28,,53,,,50,59,,,
Catherines Size Charts,Category 13,30,,55,,,52,61,,,
Catherines Size Charts,Category 13,32,,57,,,54,63,,,
Catherines Size Charts,Category 13,34,,59,,,56,65,,,
Catherines Size Charts,Category 13,36,,61,,,58,67,,,
Catherines Size Charts,Category 13,38,,63,,,60,69,,,
Catherines Size Charts,Category 14,0X,,39 - 41,,,36 - 38,45 - 47,,,
Catherines Size Charts,Category 14,1X,,43 - 45,,,40 - 42,49 - 51,,,
Catherines Size Charts,Category 14,2X,,47 - 49,,,44 - 46,53 - 55,,,
Catherines Size Charts,Category 14,3X,,51 - 53,,,48 - 50,57 - 59,,,
Catherines Size Charts,Category 14,4X,,55 - 57,,,52 - 54,61 - 63,,,
Catherines Size Charts,Category 14,5X,,59 - 61,,,56 - 58,65 - 67,,,
Catherines Size Charts,Category 14,6X,,63,,,60,69,,,
Catherines Size Charts,Category 15,14,,39,,,36,45,,,
Catherines Size Charts,Category 15,16,,41,,,38,47,,,
Catherines Size Charts,Category 15,18,,43,,,40,49,,,
Catherines Size Charts,Category 15,20,,45,,,42,51,,,
Catherines Size Charts,Category 15,22,,47,,,44,53,,,
Catherines Size Charts,Category 15,24,,49,,,46,55,,,
Catherines Size Charts,Category 15,26,,51,,,48,57,,,
Catherines Size Charts,Category 15,28,,53,,,50,59,,,
Catherines Size Charts,Category 15,30,,55,,,52,61,,,
Catherines Size Charts,Category 15,32,,57,,,54,63,,,
Catherines Size Charts,Category 15,34,,59,,,56,65,,,
Catherines Size Charts,Category 15,36,,61,,,58,67,,,
Catherines Size Charts,Category 15,38,,63,,,60,69,,,
Catherines Size Charts,Category 16,0X,,39 - 41,,,36 - 38,45 - 47,,,
Catherines Size Charts,Category 16,1X,,43 - 45,,,40 - 42,49 - 51,,,
Catherines Size Charts,Category 16,2X,,47 - 49,,,44 - 46,53 - 55,,,
Catherines Size Charts,Category 16,3X,,51 - 53,,,48 - 50,57 - 59,,,
Catherines Size Charts,Category 16,4X,,55 - 57,,,52 - 54,61 - 63,,,
Catherines Size Charts,Category 16,5X,,59 - 61,,,56 - 58,65 - 67,,,
Catherines Size Charts,Category 16,6X,,63,,,60,69,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",12,,41,,,35,43,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",14,,43,,,37,45,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",16,,45,,,39,47,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",18,,47,,,41,49,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",20,,49,,,43,51,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",22,,51,,,45,53,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Numeric Sizes",24,,53,,,47,55,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Alpha Sizes",X,,41,,,35,43,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Alpha Sizes",1X,,43 - 45,,,37 - 39,45 - 47,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Alpha Sizes",2X,,47 - 49,,,41 - 43,49 - 51,,,
Talbots Size Charts,"Women's Blouses, Shirts and Sweaters - Alpha Sizes",3X,,51 - 53,,,45 - 47,53 - 55,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",2,,33,,,26,36,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",4,,34,,,27,37,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",6,,35,,,28,38,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",8,,36,,,29,39,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",10,,37,,,30,40,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",12,,38½,,,31½,41½,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",14,,40,,,33,43,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",16,,41½,,,34½,44½,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",18,,43½,,,36½,46½,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Numeric Sizes",20,,45½,,,38½,48½,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Alpha Sizes",XS,,33 - 34,,,26 - 27,36 - 37,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Alpha Sizes",S,,35 - 36,,,28 - 29,38 - 39,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Alpha Sizes",M,,37 - 38½,,,30 - 31½,40 - 41½,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Alpha Sizes",L,,40 - 41½,,,33 - 34½,43 - 44½,,,
Talbots Size Charts,"Blouses, Shirts and Sweaters - Alpha Sizes",XL,,43½ - 45½,,,36½ - 38½,46½ - 48½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",0,,31½,,,24½,34½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",2,,32½,,,25½,35½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",4,,33½,,,26½,36½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",6,,34,,,27½,37½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",8,,35,,,28½,38½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",10,,36,,,29½,39½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",12,,38,,,31,41,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",14,,39,,,32½,42½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",16,,41,,,34,44,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",18,,43,,,36,46,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Numeric Sizes",20,,45,,,38,48,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Alpha Sizes",P,,31½ - 33½,,,24½ - 26½,34½ - 36½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Alpha Sizes",S,,34 - 35,,,27½ - 28½,37½ - 38½,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Alpha Sizes",M,,36 - 38,,,29½ - 31,39½ - 41,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Alpha Sizes",L,,39 - 41,,,32½ - 34,42½ - 44,,,
Talbots Size Charts,"Petite Blouses, Shirts and Sweaters - Alpha Sizes",XL,,43 - 45,,,36 - 38,46 - 48,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Numeric Sizes",12,,40½,,,34½,42½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Numeric Sizes",14,,42½,,,36½,44½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Numeric Sizes",16,,44½,,,38½,46½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Numeric Sizes",18,,46½,,,40½,48½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Numeric Sizes",20,,48½,,,42½,50½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Numeric Sizes",22,,50½,,,44½,52½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Alpha Sizes",X,,40½,,,34½,42½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Alpha Sizes",1X,,42½ - 44½,,,36½ - 38½,44½ - 46½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Alpha Sizes",2X,,46½,,,40½,48½,,,
Talbots Size Charts,"Women's, Petite Blouses, Shirts and Sweaters - Alpha Sizes",3X,,48½ - 50½,,,42½ - 44½,50½ - 52½,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",12,,,,,35,43,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",14,,,,,37,45,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",16,,,,,39,47,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",18,,,,,41,49,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",20,,,,,43,51,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",22,,,,,45,53,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Numeric Sizes",24,,,,,47,55,,,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Shorts,7,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Long Shorts,11,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Pants,32,
Talbots Size Charts,"Women's Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Jeans,32½,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Numeric Sizes",X,,,,,35,43,,,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Numeric Sizes",1X,,,,,37 - 39,45 - 47,,,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Numeric Sizes",2X,,,,,41 - 43,49 - 51,,,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Numeric Sizes",3X,,,,,45 - 47,53 - 55,,,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Shorts,7,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Long Shorts,11,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Pants,32,
Talbots Size Charts,"Women's, Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Jeans,32½,
Talbots Size Charts,"Jeans, Pants and Shorts - Numeric Sizes",12,,,,,34½,42½,,,
Talbots Size Charts,"Jeans, Pants and Shorts - Numeric Sizes",14,,,,,36½,44½,,,
Talbots Size Charts,"Jeans, Pants and Shorts - Numeric Sizes",16,,,,,38½,46½,,,
Talbots Size Charts,"Jeans, Pants and Shorts - Numeric Sizes",18,,,,,40½,48½,,,
Talbots Size Charts,"Jeans, Pants and Shorts - Numeric Sizes",20,,,,,42½,50½,,,
Talbots Size Charts,"Jeans, Pants and Shorts - Numeric Sizes",22,,,,,44½,52½,,,
Talbots Size Charts,"Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Shorts,7,
Talbots Size Charts,"Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Long Shorts,11,
Talbots Size Charts,"Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Jeans and Pants,29½,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Numeric Sizes",X,,40½,,,34½,42½,,,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Numeric Sizes",1X,,42½ - 5,,,36½ - 38½,44½ - 46½,,,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Numeric Sizes",2X,,46½,,,40½,48½,,,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Numeric Sizes",3X,,48½ - 50½,,,42½ - 44½,50½ - 52½,,,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Shorts,7,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Long Shorts,11,
Talbots Size Charts,"Petite Jeans, Pants and Shorts - Alpha Sizes",,,,,,,,Jeans and Pants,29½,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",2,,,,,26,36,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",4,,,,,27,37,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",6,,,,,28,38,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",8,,,,,29,39,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",10,,,,,30,40,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",12,,,,,31½,41½,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",14,,,,,33,43,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",16,,,,,34½,44½,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",18,,,,,36½,46½,,,
Talbots Size Charts,"Women's, Petite Skirts - Alpha Sizes",20,,,,,38½,48½,,,
Talbots Size Charts,"Women's, Petite Skirts - Numeric Sizes",,,,,,,,Shorts,5,
Talbots Size Charts,"Women's, Petite Skirts - Numeric Sizes",,,,,,,,Long Shorts,11,
Talbots Size Charts,"Women's, Petite Skirts - Numeric Sizes",,,,,,,,Pants,32,
Talbots Size Charts,"Women's, Petite Skirts - Numeric Sizes",,,,,,,,Jeans,32½,
Talbots Size Charts,"Women's, Petite Skirts - Numeric Sizes",,,,,,,,Long Pants,35,
Talbots Size Charts,Women's Skirts - Alpha Sizes,XS,,,,,26 - 27,36 - 37,,,
Talbots Size Charts,Women's Skirts - Alpha Sizes,S,,,,,28 - 29,38 - 39,,,
Talbots Size Charts,Women's Skirts - Alpha Sizes,M,,,,,30 - 31½,40 - 41½,,,
Talbots Size Charts,Women's Skirts - Alpha Sizes,L,,,,,33 - 34½,43 - 44½,,,
Talbots Size Charts,Women's Skirts - Alpha Sizes,XL,,,,,36½ - 38½,46½ - 48½,,,
Talbots Size Charts,Women's Skirts - Numeric Sizes,,,,,,,,Shorts,5,
Talbots Size Charts,Women's Skirts - Numeric Sizes,,,,,,,,Long Shorts,11,
Talbots Size Charts,Women's Skirts - Numeric Sizes,,,,,,,,Pants,32,
Talbots Size Charts,Women's Skirts - Numeric Sizes,,,,,,,,Jeans,32½,
Talbots Size Charts,Women's Skirts - Numeric Sizes,,,,,,,,Long Pants,35,
Talbots Size Charts,Skirts - Numeric Sizes,0,,,,,24½,34½,,,
Talbots Size Charts,Skirts - Numeric Sizes,2,,,,,25½,35½,,,
Talbots Size Charts,Skirts - Numeric Sizes,4,,,,,26½,36½,,,
Talbots Size Charts,Skirts - Numeric Sizes,6,,,,,27½,37½,,,
Talbots Size Charts,Skirts - Numeric Sizes,8,,,,,28½,38½,,,
Talbots Size Charts,Skirts - Numeric Sizes,10,,,,,29½,39½,,,
Talbots Size Charts,Skirts - Numeric Sizes,12,,,,,31,41,,,
Talbots Size Charts,Skirts - Numeric Sizes,14,,,,,32½,42½,,,
Talbots Size Charts,Skirts - Numeric Sizes,16,,,,,34,44,,,
Talbots Size Charts,Skirts - Numeric Sizes,18,,,,,36,46,,,
Talbots Size Charts,Skirts - Numeric Sizes,20,,,,,38,48,,,
Talbots Size Charts,Skirts - Alpha Sizes,,,,,,,,Shorts,5,
Talbots Size Charts,Skirts - Alpha Sizes,,,,,,,,Long Shorts,10,
Talbots Size Charts,Skirts - Alpha Sizes,,,,,,,,Jeans and Pants,29½,
Talbots Size Charts,Petite Skirts - Numeric Sizes,P,,,,,24½ - 26½,34½ - 36½,,,
Talbots Size Charts,Petite Skirts - Numeric Sizes,S,,,,,27½ - 28½,37½ - 38½,,,
Talbots Size Charts,Petite Skirts - Numeric Sizes,M,,,,,29½ - 31,39½ - 41,,,
Talbots Size Charts,Petite Skirts - Numeric Sizes,L,,,,,32½ - 34,42½ - 44,,,
Talbots Size Charts,Petite Skirts - Numeric Sizes,XL,,,,,36 - 38,46 - 48,,,
Talbots Size Charts,Petite Skirts - Alpha Sizes,,,,,,,,Shorts,5,
Talbots Size Charts,Petite Skirts - Alpha Sizes,,,,,,,,Long Shorts,10,
Talbots Size Charts,Petite Skirts - Alpha Sizes,,,,,,,,Jeans and Pants,29½,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,12,,41,,,35,43,,,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,14,,43,,,37,45,,,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,16,,45,,,39,47,,,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,18,,47,,,41,49,,,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,20,,49,,,43,51,,,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,22,,51,,,45,53,,,
Talbots Size Charts,Women's Dresses and Suits - Numeric Sizes,24,,53,,,47,55,,,
Talbots Size Charts,Women's Dresses and Suits - Alpha Sizes,X,,41,,,35,43,,,
Talbots Size Charts,Women's Dresses and Suits - Alpha Sizes,1X,,43 - 45,,,37 - 39,45 - 47,,,
Talbots Size Charts,Women's Dresses and Suits - Alpha Sizes,2X,,47 - 49,,,41 - 43,49 - 51,,,
Talbots Size Charts,Women's Dresses and Suits - Alpha Sizes,3X,,51 - 53,,,45 - 47,53 - 55,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,0,,31½,,,24½,34½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,2,,32½,,,25½,35½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,4,,33½,,,26½,36½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,6,,34,,,27½,37½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,8,,35,,,28½,38½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,10,,36,,,29½,39½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,12,,38,,,31,41,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,14,,39,,,32½,42½,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,16,,41,,,34,44,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,18,,43,,,36,46,,,
Talbots Size Charts,Petite Dresses and Suits - Numeric Sizes,20,,45,,,38,48,,,
Talbots Size Charts,Petite Dresses and Suits - Alpha Sizes,P,,31½ - 33½,,,24½ - 26½,34½ - 36½,,,
Talbots Size Charts,Petite Dresses and Suits - Alpha Sizes,S,,34 - 35,,,27½ - 28½,37½ - 38½,,,
Talbots Size Charts,Petite Dresses and Suits - Alpha Sizes,M,,36 - 38,,,29½ - 31,39½ - 41,,,
Talbots Size Charts,Petite Dresses and Suits - Alpha Sizes,L,,39 - 41,,,32½ - 34,42½ - 44,,,
Talbots Size Charts,Petite Dresses and Suits - Alpha Sizes,XL,,43 - 45,,,36 - 38,46 - 48,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Alpha Sizes",X,,40½,,,34½,42½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Alpha Sizes",1X,,42½ - 44½,,,36½ - 38½,44½ - 46½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Alpha Sizes",2X,,46½,,,40½,48½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Alpha Sizes",3X,,48½ - 50½,,,42½ - 44½,50½ - 52½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Numeric Sizes",12,,40½,,,34½,42½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Numeric Sizes",14,,42½,,,36½,44½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Numeric Sizes",16,,44½,,,38½,46½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Numeric Sizes",18,,46½,,,40½,48½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Numeric Sizes",20,,48½,,,42½,50½,,,
Talbots Size Charts,"Women's, Petite Dresses and Suits - Numeric Sizes",22,,50½,,,44½,52½,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,2,,33,,,26,36,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,4,,34,,,27,37,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,6,,35,,,28,38,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,8,,36,,,29,39,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,10,,37,,,30,40,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,12,,38½,,,31½,41½,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,14,,40,,,33,43,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,16,,41½,,,34½,44½,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,18,,43½,,,36½,46½,,,
Talbots Size Charts,Dresses and Suits - Numeric Sizes,20,,45½,,,38½,48½,,,
Talbots Size Charts,Dresses and Suits - Alpha Sizes,XS,,33 - 34,,,26 - 27,36 - 37,,,
Talbots Size Charts,Dresses and Suits - Alpha Sizes,S,,35 - 36,,,28 - 29,38 - 39,,,
Talbots Size Charts,Dresses and Suits - Alpha Sizes,M,,37 - 38½,,,30 - 31½,40 - 41½,,,
